iter	MultiClass
0	1.272986255
1	1.182864447
2	1.097906256
3	1.026688434
4	0.9717322832
5	0.9195036636
6	0.8772585289
7	0.8447205461
8	0.8128314133
9	0.7834490681
10	0.7550090185
11	0.7206225892
12	0.6958690975
13	0.6712394733
14	0.6457884397
15	0.6254255996
16	0.6040489004
17	0.581722283
18	0.5629596374
19	0.5460481941
20	0.5313943503
21	0.5170838729
22	0.5047793594
23	0.4900082504
24	0.4791321449
25	0.4696096063
26	0.4559898998
27	0.4440465502
28	0.4328513045
29	0.4225089539
30	0.4131928987
31	0.4035854113
32	0.3971925804
33	0.3882448926
34	0.379213016
35	0.3702722484
36	0.3660858731
37	0.3594612994
38	0.3525974918
39	0.3454307925
40	0.3409182749
41	0.3363957141
42	0.3323005875
43	0.3277658542
44	0.3233458409
45	0.3188758671
46	0.3143975224
47	0.3082976455
48	0.3045803945
49	0.3014365037
50	0.2979474095
51	0.2957943326
52	0.29365444
53	0.2895516325
54	0.2864211552
55	0.2842271432
56	0.2831963623
57	0.2802745061
58	0.2781624239
59	0.2751245091
60	0.2735543846
61	0.270652355
62	0.2685040717
63	0.2642286311
64	0.2610960113
65	0.2589851883
66	0.2559490628
67	0.253408058
68	0.2510176766
69	0.2491960074
70	0.2475604007
71	0.244771957
72	0.2431999203
73	0.2419825412
74	0.2404631237
75	0.238907507
76	0.2373774281
77	0.236513669
78	0.2351764719
79	0.2346431005
80	0.2329760106
81	0.230293747
82	0.2291736939
83	0.2285728432
84	0.2276685003
85	0.2267310513
86	0.2240666983
87	0.221864123
88	0.2205111692
89	0.2185317703
90	0.2180712366
91	0.2173069564
92	0.2153051581
93	0.2142167635
94	0.2130026778
95	0.2119554453
96	0.2106080785
97	0.2093094125
98	0.2080420602
99	0.2066208173
100	0.2053783113
101	0.2038315211
102	0.2025811869
103	0.2009241893
104	0.198595044
105	0.1978309246
106	0.196847977
107	0.1951777816
108	0.1945278298
109	0.1938752987
110	0.1925510747
111	0.1920196273
112	0.190445985
113	0.1898789982
114	0.1895475831
115	0.1878881402
116	0.1872262115
117	0.186033943
118	0.1853167978
119	0.1839280491
120	0.1827966025
121	0.1811798026
122	0.1804350628
123	0.1788422161
124	0.1771675057
125	0.1759691695
126	0.1744369699
127	0.1736558842
128	0.1721502772
129	0.1708651675
130	0.1698063406
131	0.1682689218
132	0.1670073539
133	0.1659786357
134	0.1646245938
135	0.1637276082
136	0.1630324401
137	0.162005824
138	0.1612963735
139	0.1601381728
140	0.1591066699
141	0.1579973738
142	0.1568355802
143	0.1560933211
144	0.1555931111
145	0.1544074242
146	0.1540079388
147	0.1527298978
148	0.1516946178
149	0.151199812
150	0.1504775611
151	0.1491635909
152	0.1484435469
153	0.1477493631
154	0.1466667706
155	0.1455827097
156	0.1446845191
157	0.1440766705
158	0.1430783634
159	0.1421866585
160	0.1416496467
161	0.1408058902
162	0.1402782316
163	0.1395253156
164	0.1389567848
165	0.1378632184
166	0.1374052408
167	0.1368810755
168	0.1358892541
169	0.1349176506
170	0.1343713957
171	0.1338932121
172	0.1334050176
173	0.1327739773
174	0.1317345183
175	0.1314828285
176	0.130437192
177	0.1300351214
178	0.1292213628
179	0.1281565918
180	0.127796913
181	0.1270058294
182	0.1263819655
183	0.1256084985
184	0.1251490972
