iter	Passed	Remaining
0	11	13316
1	20	12379
2	30	12100
3	39	11848
4	48	11675
5	58	11613
6	67	11515
7	77	11487
8	86	11476
9	96	11464
10	108	11693
11	122	12159
12	138	12620
13	152	12903
14	170	13486
15	183	13579
16	197	13763
17	211	13856
18	227	14146
19	247	14625
20	274	15404
21	296	15888
22	319	16360
23	344	16857
24	364	17147
25	389	17586
26	408	17756
27	423	17733
28	436	17614
29	447	17471
30	459	17345
31	471	17218
32	483	17111
33	493	16936
34	503	16761
35	512	16578
36	521	16401
37	531	16260
38	541	16108
39	550	15951
40	558	15791
41	568	15660
42	578	15555
43	587	15426
44	596	15314
45	606	15209
46	615	15104
47	624	14985
48	633	14883
49	643	14792
50	653	14723
51	662	14633
52	672	14550
53	681	14472
54	691	14392
55	700	14309
56	706	14158
57	714	14069
58	723	13989
59	732	13920
60	741	13845
61	750	13781
62	759	13714
63	769	13658
64	777	13582
65	786	13520
66	796	13474
67	807	13447
68	817	13396
69	827	13351
70	836	13305
71	847	13271
72	857	13241
73	868	13209
74	877	13164
75	886	13111
76	896	13081
77	906	13032
78	915	12987
79	924	12943
80	933	12900
81	943	12857
82	952	12819
83	961	12772
84	970	12731
85	980	12699
86	989	12656
87	998	12617
88	1008	12585
89	1017	12547
90	1026	12508
91	1035	12469
92	1044	12430
93	1052	12388
94	1062	12354
95	1071	12317
96	1080	12290
97	1090	12259
98	1099	12223
99	1108	12194
100	1117	12159
101	1126	12130
102	1136	12107
103	1147	12091
104	1159	12093
105	1169	12067
106	1179	12052
107	1188	12021
108	1198	11992
109	1209	11987
110	1217	11943
111	1224	11898
112	1232	11856
113	1240	11814
114	1247	11768
115	1254	11724
116	1262	11683
117	1269	11640
118	1276	11600
119	1284	11560
120	1291	11519
121	1299	11481
122	1306	11440
123	1314	11403
124	1323	11380
125	1330	11342
126	1338	11306
127	1345	11270
128	1353	11237
129	1361	11204
130	1368	11168
131	1376	11137
132	1384	11104
133	1391	11070
134	1399	11037
135	1406	11000
136	1413	10966
137	1420	10932
138	1427	10895
139	1434	10864
140	1442	10831
141	1449	10799
142	1457	10769
143	1464	10742
144	1472	10711
145	1479	10684
146	1487	10655
147	1494	10625
148	1502	10599
149	1510	10571
150	1517	10540
151	1524	10514
152	1532	10486
153	1542	10474
154	1551	10458
155	1560	10444
156	1568	10421
157	1576	10398
158	1585	10382
159	1594	10361
160	1601	10335
161	1609	10311
162	1616	10284
163	1623	10258
164	1631	10234
165	1639	10210
166	1646	10184
167	1653	10157
168	1661	10133
169	1668	10110
170	1676	10086
171	1683	10060
172	1690	10035
173	1698	10012
174	1705	9988
175	1712	9963
176	1719	9939
177	1727	9919
178	1735	9897
179	1742	9876
180	1750	9853
181	1757	9832
182	1765	9810
183	1772	9788
184	1779	9764
185	1787	9743
186	1794	9721
187	1801	9699
188	1809	9678
189	1816	9656
190	1824	9639
191	1832	9619
192	1839	9599
193	1847	9578
194	1854	9558
195	1863	9543
196	1870	9525
197	1878	9505
198	1885	9483
199	1892	9462
200	1900	9443
201	1907	9423
202	1914	9402
203	1921	9383
204	1929	9363
205	1936	9342
206	1944	9325
207	1951	9306
208	1958	9288
209	1966	9270
210	1973	9252
211	1981	9234
212	1989	9220
213	1996	9200
214	2004	9185
215	2012	9168
216	2020	9154
217	2028	9138
218	2036	9124
219	2044	9109
220	2054	9101
221	2064	9096
222	2073	9083
223	2081	9067
224	2089	9053
225	2097	9040
226	2108	9036
227	2117	9027
228	2127	9018
229	2136	9010
230	2144	8996
231	2153	8984
232	2162	8974
233	2170	8961
234	2178	8946
235	2187	8934
236	2195	8921
237	2203	8907
238	2211	8892
239	2219	8877
240	2227	8865
241	2235	8849
242	2243	8834
243	2251	8820
244	2259	8807
245	2267	8793
246	2275	8780
247	2283	8765
248	2291	8751
249	2299	8738
250	2307	8725
251	2315	8709
252	2323	8697
253	2331	8684
254	2340	8672
255	2347	8657
256	2355	8642
257	2363	8628
258	2370	8612
259	2377	8595
260	2384	8578
261	2391	8563
262	2400	8551
263	2407	8535
264	2414	8520
265	2422	8504
266	2429	8489
267	2437	8476
268	2445	8462
269	2453	8449
270	2461	8438
271	2469	8426
272	2477	8412
273	2485	8398
274	2492	8383
275	2500	8370
276	2508	8357
277	2515	8343
278	2523	8329
279	2530	8315
280	2537	8300
281	2545	8286
282	2553	8273
283	2561	8260
284	2568	8246
285	2575	8232
286	2583	8219
287	2591	8206
288	2598	8192
289	2607	8180
290	2614	8166
291	2622	8154
292	2629	8140
293	2637	8127
294	2644	8113
295	2652	8100
296	2659	8085
297	2666	8071
298	2674	8058
299	2681	8044
300	2688	8030
301	2696	8017
302	2703	8003
303	2710	7990
304	2718	7977
305	2726	7966
306	2734	7953
307	2742	7943
308	2750	7930
309	2757	7917
310	2765	7904
311	2773	7893
312	2780	7880
313	2788	7869
314	2795	7854
315	2803	7842
316	2810	7829
317	2817	7815
318	2825	7802
319	2832	7789
320	2840	7776
321	2847	7765
322	2855	7752
323	2862	7740
324	2870	7729
325	2878	7715
326	2886	7705
327	2895	7697
328	2903	7686
329	2911	7675
330	2919	7664
331	2927	7654
332	2935	7642
333	2943	7632
334	2952	7623
335	2960	7612
336	2968	7602
337	2977	7592
338	2984	7581
339	2992	7570
340	3000	7559
341	3008	7547
342	3016	7537
343	3024	7527
344	3033	7516
345	3041	7506
